8/1/19 17:26,...buy,agricultural,product,from,the,u.s,in,large,quantities,but,did,not,do,so,additionally,my,friend,president,xi,said,that,he,would,stop,the,sale,of,fentanyl,to,the,united,states,–,this,never,happened,and,many,americans,continue,to,die,trade,talks,are,continuing,and...,,,,,,
2/11/19 19:33,https://t.co/lpr2jkylcw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/28/19 14:45,puerto,rico,is,one,of,the,most,corrupt,places,on,earth,their,political,system,is,broken,and,their,politicians,are,either,incompetent,or,corrupt,congress,approved,billions,of,dollars,last,time,more,than,anyplace,else,has,ever,gotten,and,it,is,sent,to,crooked,pols,no,good,....,,,,,
5/24/19 0:19,....today’s,action,will,help,ensure,that,all,americans,learn,the,truth,about,the,events,that,occurred,and,the,actions,that,were,taken,during,the,last,presidential,election,and,will,restore,confidence,in,our,public,institutions.”,@presssec,,,,,,,,,,,,,,,,,
10/19/19 2:02,congressman,michael,mccaul,“schiff’s,inquiry,defies,democracy.”,@foxnews,@seanhannity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/19 13:13,rt,@mariabartiromo,today,@newtgingrich,you can always impeach if you are in the majority and if you want to commit suicide &amp  that's what…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/19 11:27,v.p,mike,pence,will,be,interviewed,on,@foxandfriends,at,7:30,a.m,enjoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/30/19 16:16,rt,@craigcaplan,senate,failed,in,three,separate,attempts,to,override,president,trump's,vetoes,of,resolutions,blocking,us,arms,sales,to,sau…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/18/19 2:13,the,story,in,the,@nytimes,about,the,u.s,escalating,attacks,on,russia’s,power,grid,is,fake,news,and,the,failing,new,york,times,knows,it,they,should,immediately,release,their,sources,which,if,they,exist,at,all,which,i,doubt,are,phony,times,must,be,held,fully,accountable,,,,,
1/18/19 2:42,“in,2018,alone,20000,illegal,aliens,with,criminal,records,were,apprehended,trying,to,cross,the,border,and,there,was,a,122%,increase,in,fentanyl,being,smuggled,between,ports,of,entry,last,month,alone,more,than,20000,minors,were,smuggled,into,the,u.s.”,@seanhannity,,,,,,,,,,
10/19/19 17:07,rt,@gopchairwoman,“our,country,is,once,again,living,by,two,simple,rules,buy,american,and,hire,american,the,economy,is,booming,our,peopl…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/29/19 13:05,the,economy,is,doing,great,with,tremendous,upside,potential,if,the,fed,would,do,what,they,should,we,are,a,rocket,upward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/19 14:59,....your,companies,home,and,making,your,products,in,the,usa,i,will,be,responding,to,china’s,tariffs,this,afternoon,this,is,a,great,opportunity,for,the,united,states,also,i,am,ordering,all,carriers,including,fed,ex,amazon,ups,and,the,post,office,to,search,for,&amp,refuse....,,,,,
7/10/19 1:36,more,and,more,the,radical,left,is,using,commerce,to,hurt,their,“enemy.”,they,put,out,the,name,of,a,store,brand,or,company,and,ask,their,so-called,followers,not,to,do,business,there,they,don’t,care,who,gets,hurt,but,also,don’t,understand,that,two,can,play,that,game,,,
