7/25/19 21:24,give,a$ap,rocky,his,freedom,we,do,so,much,for,sweden,but,it,doesn’t,seem,to,work,the,other,way,around,sweden,should,focus,on,its,real,crime,problem,#freerocky,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/20/19 13:52,just,had,a,very,good,call,with,@swedishpm,stefan,löfven,who,assured,me,that,american,citizen,a$ap,rocky,will,be,treated,fairly,likewise,i,assured,him,that,a$ap,was,not,a,flight,risk,and,offered,to,personally,vouch,for,his,bail,or,an,alternative....,,,,,,,,,,,,,
2/27/19 7:58,i,have,now,spent,more,time,in,vietnam,than,da,nang,dick,blumenthal,the,third,rate,senator,from,connecticut,(how,is,connecticut,doing,),his,war,stories,of,his,heroism,in,vietnam,were,a,total,fraud,-,he,was,never,even,there,we,talked,about,it,today,with,vietnamese,leaders,,,,,,,
6/19/19 2:13,don’t,ever,forget,-,this,election,is,about,you,it,is,about,your,family,your,future,&amp,the,fate,of,your,country,we,begin,our,campaign,with,the,best,record,the,best,results,the,best,agenda,&amp,the,only,positive,vision,for,our,country’s,future,#trump2020,https://t.co/vmu28hkqh6,,,,,,,,,,
6/21/19 19:50,https://t.co/jds4zuxxjg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/20/19 14:03,https://t.co/ag45a3ugnp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/19 12:01,good,morning,have,a,great,day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/16/19 12:00,if,you,come,after,the,president,the,country,the,flag,-,he’s,going,to,defend,himself,what,the,squad,doesn’t,like,is,that,donald,trump,is,enforcing,the,very,laws,that,are,on,the,books,that,were,put,there,by,congress.”,jason,chaffetz,also,buy,jason’s,great,new,book,power,grab,,,,,,
1/18/19 22:51,i,will,be,making,a,major,announcement,concerning,the,humanitarian,crisis,on,our,southern,border,and,the,shutdown,tomorrow,afternoon,at,3,p.m,live,from,the,@whitehouse.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/19 13:42,if,roger,stone,was,indicted,for,lying,to,congress,what,about,the,lying,done,by,comey,brennan,clapper,lisa,page,&amp,lover,baker,and,soooo,many,others,what,about,hillary,to,fbi,and,her,33000,deleted,emails,what,about,lisa,&amp,peter’s,deleted,texts,&amp,wiener’s,laptop,much,more,,,,,,,,
2/10/19 12:41,senator,richard,burr,the,chairman,of,the,senate,intelligence,committee,just,announced,that,after,almost,two,years,more,than,two,hundred,interviews,and,thousands,of,documents,they,have,found,no,collusion,between,trump,and,russia,is,anybody,really,surprised,by,this,,,,,,,,,,,,,,,,
6/3/19 10:37,just,arrived,in,the,united,kingdom,the,only,problem,is,that,@cnn,is,the,primary,source,of,news,available,from,the,u.s,after,watching,it,for,a,short,while,i,turned,it,off,all,negative,&amp,so,much,fake,news,very,bad,for,u.s,big,ratings,drop,why,doesn’t,owner,@att,do,something,,,,
6/7/19 21:43,dow,jones,has,best,week,of,the,year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/19 3:50,endless,wars,especially,those,which,are,fought,out,of,judgement,mistakes,that,were,made,many,years,ago,&amp,those,where,we,are,getting,little,financial,or,military,help,from,the,rich,countries,that,so,greatly,benefit,from,what,we,are,doing,will,eventually,come,to,a,glorious,end,,,,,,,,,
8/8/19 0:48,the,dems,new,weapon,is,actually,their,old,weapon,one,which,they,never,cease,to,use,when,they,are,down,or,run,out,of,facts,racism,they,are,truly,disgusting,they,even,used,it,on,nancy,pelosi,i,will,be,putting,out,a,list,of,all,people,who,have,been,so,(ridiculously),accused,,,,
