5/11/19 11:59,rt,@tomfitton,of,course,there's,a,#nationalemergency,on,the,border,@realdonaldtrump,is,absolutely,right,about,the,border,crisis,and,shou…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/19 22:52,i,donate,100%,of,my,president’s,salary,"$400,000 ",back,to,our,country,and,feel,very,good,about,it,https://t.co/cx8op2qyw7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/25/19 18:36,usmca,make,it,bipartisan,everybody,wants,it,https://t.co/llodwzr4in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/11/19 14:00,now,the,democrats,have,asked,to,see,12,more,people,who,have,already,spent,hours,with,robert,mueller,and,spent,a,fortune,on,lawyers,in,so,doing,how,many,bites,at,the,apple,do,they,get,before,working,on,border,loopholes,and,asylum,they,also,want,to,interview,the,highly......
7/9/19 12:18,outrage,is,growing,in,the,great,state,of,minnesota,where,our,patriots,are,now,having,to,fight,for,the,right,to,say,the,pledge,of,allegiance,i,will,be,fighting,with,you,@foxandfriends,,,,,,,,,,,,,,,,,
4/6/19 13:51,rt,@marc_lotter,let,me,answer,that,question,for,you,@msnbc,-,no,https://t.co/0qyxwkjgj1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/11/19 12:40,h1-b,holders,in,the,united,states,can,rest,assured,that,changes,are,soon,coming,which,will,bring,both,simplicity,and,certainty,to,your,stay,including,a,potential,path,to,citizenship,we,want,to,encourage,talented,and,highly,skilled,people,to,pursue,career,options,in,the,u.s.,,,,
10/24/19 22:01,rt,@jmclghln,52%,majority,says,impeachment,is,political,to,stop,@realdonaldtrump,reelection,only,36%,legal,47%-33%,say,@potus,shudn’t,coop…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/19 12:47,rt,@msmaimie,@usminority,👏🏻👏🏻👏🏻👏🏻👏🏻,i,am,so,thankful,you,saw,the,light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/19 0:59,i,will,be,interviewed,on,@seanhannity,at,9:00,pm,in,5,minutes,-,enjoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/29/19 2:33,rt,@gop,“look,what,[@realdonaldtrump],did,with,japan,at,the,g7,this,is,a,huge,trade,agreement,he,secured,with,them—,agriculture,beef,bu…,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/19 17:48,rt,@richlowry,i,know,he,won’t,do,this,because,obviously,the,political,narrative,is,important,to,him,and,people,around,him,but,mueller,sh…,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/19 13:42,if,roger,stone,was,indicted,for,lying,to,congress,what,about,the,lying,done,by,comey,brennan,clapper,lisa,page,&amp,lover,baker,and,soooo,many,others,what,about,hillary,to,fbi,and,her,33000,deleted,emails,what,about,lisa,&amp,peter’s,deleted,texts,&amp,wiener’s,laptop,much,more,
3/30/19 3:26,a,huge,thanks,to,@heathernauert,for,serving,america,at,the,@statedept,great,work,i’m,proud,to,have,you,join,the,fulbright,board,https://t.co/oq0zaa3mid,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/19 13:37,michael,cohen’s,book,manuscript,shows,that,he,committed,perjury,on,a,scale,not,seen,before,he,must,have,forgotten,about,his,book,when,he,testified,what,does,hillary,clinton’s,lawyer,lanny,davis,say,about,this,one,is,he,being,paid,by,crooked,hillary,using,her,lawyer,,,,
