TWEET TIME: 10/29/19 03:13:58 AM; IMPACTED: False
TWEET TIME: 06/25/19 02:42:29 AM; IMPACTED: False
TWEET TIME: 03/27/19 07:38:55 AM; IMPACTED: False
TWEET TIME: 05/11/19 11:46:07 AM; IMPACTED: N/A
TWEET TIME: 07/31/19 07:58:50 AM; IMPACTED: False
TWEET TIME: 10/07/19 03:25:02 AM; IMPACTED: False
TWEET TIME: 01/15/19 01:05:16 AM; IMPACTED: False
TWEET TIME: 05/05/19 01:45:40 AM; IMPACTED: N/A
TWEET TIME: 04/20/19 11:20:08 AM; IMPACTED: N/A
TWEET TIME: 10/05/19 04:11:38 AM; IMPACTED: N/A
TWEET TIME: 08/07/19 03:41:25 AM; IMPACTED: False
TWEET TIME: 04/13/19 12:04:18 PM; IMPACTED: N/A
TWEET TIME: 01/12/19 12:05:36 PM; IMPACTED: N/A
TWEET TIME: 09/26/19 12:19:56 PM; IMPACTED: False
TWEET TIME: 09/18/19 12:45:28 PM; IMPACTED: False
TWEET TIME: 09/29/19 10:53:42 AM; IMPACTED: N/A
TWEET TIME: 09/01/19 02:09:33 AM; IMPACTED: N/A
TWEET TIME: 10/26/19 08:17:18 AM; IMPACTED: N/A
TWEET TIME: 07/12/19 03:14:27 AM; IMPACTED: False
TWEET TIME: 02/27/19 09:20:25 AM; IMPACTED: False
TWEET TIME: 10/17/19 12:00:40 PM; IMPACTED: False
TWEET TIME: 07/04/19 11:23:30 AM; IMPACTED: N/A
TWEET TIME: 09/29/19 02:02:38 AM; IMPACTED: N/A
TWEET TIME: 09/11/19 03:50:19 AM; IMPACTED: False
TWEET TIME: 07/14/19 12:40:01 PM; IMPACTED: N/A
TWEET TIME: 03/16/19 09:34:04 AM; IMPACTED: N/A
TWEET TIME: 10/09/19 01:49:45 AM; IMPACTED: False
TWEET TIME: 09/07/19 07:58:37 AM; IMPACTED: N/A
TWEET TIME: 01/21/19 12:39:09 PM; IMPACTED: N/A
TWEET TIME: 07/22/19 09:44:48 AM; IMPACTED: False
TWEET TIME: 05/14/19 04:27:22 AM; IMPACTED: False
TWEET TIME: 09/27/19 12:29:51 PM; IMPACTED: False
TWEET TIME: 10/25/19 11:40:48 AM; IMPACTED: False
TWEET TIME: 10/08/19 04:04:22 AM; IMPACTED: False
TWEET TIME: 06/05/19 12:18:50 PM; IMPACTED: False
TWEET TIME: 07/25/19 12:37:37 PM; IMPACTED: False
TWEET TIME: 09/24/19 03:36:12 AM; IMPACTED: False
TWEET TIME: 07/02/19 11:38:22 AM; IMPACTED: False
TWEET TIME: 05/22/19 10:40:57 AM; IMPACTED: False
TWEET TIME: 10/16/19 03:08:40 AM; IMPACTED: False
TWEET TIME: 02/18/19 10:32:53 AM; IMPACTED: N/A
TWEET TIME: 09/01/19 02:01:51 AM; IMPACTED: N/A
TWEET TIME: 08/13/19 12:24:14 PM; IMPACTED: False
TWEET TIME: 09/04/19 09:08:58 AM; IMPACTED: False
TWEET TIME: 05/31/19 07:12:32 AM; IMPACTED: False
TWEET TIME: 05/12/19 11:10:43 AM; IMPACTED: N/A
TWEET TIME: 10/11/19 03:42:04 AM; IMPACTED: True
TWEET TIME: 09/26/19 12:02:40 PM; IMPACTED: False
TWEET TIME: 05/20/19 11:20:54 AM; IMPACTED: False
TWEET TIME: 01/08/19 01:01:15 AM; IMPACTED: False
TWEET TIME: 10/17/19 04:29:31 AM; IMPACTED: False
TWEET TIME: 02/24/19 01:19:19 AM; IMPACTED: N/A
TWEET TIME: 10/11/19 05:29:12 AM; IMPACTED: False
TWEET TIME: 10/08/19 06:40:38 AM; IMPACTED: True
TWEET TIME: 06/18/19 11:30:23 AM; IMPACTED: False
TWEET TIME: 07/03/19 08:22:30 AM; IMPACTED: False
TWEET TIME: 06/15/19 11:44:47 AM; IMPACTED: N/A
TWEET TIME: 10/21/19 01:55:36 AM; IMPACTED: False
TWEET TIME: 08/20/19 01:10:56 AM; IMPACTED: False
TWEET TIME: 08/18/19 07:15:55 AM; IMPACTED: N/A
TWEET TIME: 06/21/19 01:03:18 AM; IMPACTED: False
TWEET TIME: 06/13/19 02:33:10 AM; IMPACTED: False
TWEET TIME: 09/13/19 03:34:40 AM; IMPACTED: False
TWEET TIME: 07/04/19 12:45:51 PM; IMPACTED: N/A
TWEET TIME: 05/02/19 04:56:07 AM; IMPACTED: False
TWEET TIME: 10/22/19 12:35:45 PM; IMPACTED: False
TWEET TIME: 01/07/19 12:56:19 PM; IMPACTED: False
TWEET TIME: 06/22/19 06:56:35 AM; IMPACTED: N/A
TWEET TIME: 04/02/19 07:42:48 AM; IMPACTED: False
TWEET TIME: 04/23/19 03:06:12 AM; IMPACTED: False
TWEET TIME: 07/11/19 11:01:15 AM; IMPACTED: False
TWEET TIME: 05/25/19 08:03:26 AM; IMPACTED: N/A
TWEET TIME: 01/23/19 07:09:40 AM; IMPACTED: False
TWEET TIME: 05/11/19 12:20:39 PM; IMPACTED: N/A
TWEET TIME: 07/11/19 11:30:02 AM; IMPACTED: False
TWEET TIME: 08/06/19 10:47:43 AM; IMPACTED: False
TWEET TIME: 07/14/19 12:53:45 PM; IMPACTED: N/A
TWEET TIME: 06/06/19 11:50:25 AM; IMPACTED: False
TWEET TIME: 03/14/19 01:12:29 AM; IMPACTED: False
TWEET TIME: 08/13/19 07:34:28 AM; IMPACTED: False
TWEET TIME: 09/05/19 03:45:21 AM; IMPACTED: False
TWEET TIME: 02/01/19 03:16:58 AM; IMPACTED: False
TWEET TIME: 10/19/19 07:25:53 AM; IMPACTED: N/A
TWEET TIME: 09/21/19 09:50:08 AM; IMPACTED: N/A
TWEET TIME: 07/13/19 11:44:03 AM; IMPACTED: N/A
TWEET TIME: 10/20/19 10:41:10 AM; IMPACTED: N/A
TWEET TIME: 09/29/19 02:51:50 AM; IMPACTED: N/A
TWEET TIME: 08/24/19 12:47:00 PM; IMPACTED: N/A
TWEET TIME: 02/15/19 07:04:20 AM; IMPACTED: False
TWEET TIME: 05/22/19 02:20:51 AM; IMPACTED: False
TWEET TIME: 06/28/19 10:51:41 AM; IMPACTED: False
TWEET TIME: 04/04/19 12:46:27 PM; IMPACTED: False
TWEET TIME: 10/05/19 03:24:58 AM; IMPACTED: N/A
TWEET TIME: 04/10/19 01:01:51 AM; IMPACTED: False
TWEET TIME: 04/28/19 02:07:11 AM; IMPACTED: N/A
TWEET TIME: 07/09/19 11:48:05 AM; IMPACTED: False
TWEET TIME: 04/19/19 09:14:33 AM; IMPACTED: N/A
TWEET TIME: 01/30/19 09:54:12 AM; IMPACTED: True
TWEET TIME: 09/15/19 09:55:21 AM; IMPACTED: N/A
TWEET TIME: 03/04/19 01:08:40 AM; IMPACTED: False
TWEET TIME: 07/03/19 04:06:20 AM; IMPACTED: False
TWEET TIME: 04/26/19 02:25:28 AM; IMPACTED: False
TWEET TIME: 06/01/19 07:48:55 AM; IMPACTED: N/A
TWEET TIME: 10/21/19 03:54:07 AM; IMPACTED: False
TWEET TIME: 08/31/19 01:02:45 AM; IMPACTED: N/A
TWEET TIME: 10/03/19 11:37:44 AM; IMPACTED: False
